NN DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Cairns  R3: 3) SAND 'N' POWER (#3 — McKenzie Apel)

Cairns  R4: 1) SHARMAN PETE (#7 — Krysten Swaffer)
Cairns  R4: 2) IT'S BEEN A TREK* (#4 — Adam Sewell)
Cairns  R4: 3) BOMBINATE (#2 — Mitch Goring)

Cairns  R5: 1) BOOGIE WONDERLAND (#3 — Mitch Goring)
Cairns  R5: 2) BETTER BE SLICK* (#4 — Lacey Morrison)
Cairns  R5: 3) CANDLELIT (#5 — Ashley Butler)

Cairns  R6: 1) DEVIL KICK (#1 — Ashley Butler)
Cairns  R6: 2) FIND MY CALM (#12 — Krysten Swaffer)
Cairns  R6: 3) READ 'EM AND WEEP* (#8 — Lacey Morrison)

Cairns  R7: 1) HEAD HONCHO* (#11 — Lacey Morrison)
Cairns  R7: 2) JEMELDI* (#3 — Ashley Butler)
Cairns  R7: 3) LADY DAMUS** (#7 — Sean Cormack)

Cairns  R8: 1) FORTIFIED (#6 — Justin Huxtable)
Cairns  R8: 2) STADIUM OF LIGHT (#2 — Sean Cormack)
Cairns  R8: 3) CONVENER (#4 — McKenzie Apel)

Cairns  R9: 1) SUPER ART (#3 — Mitch Goring)
Cairns  R9: 2) NAPOLEON STRIKE (#2 — Lauren Guernier)
Cairns  R9: 3) HARTSHORN (#1 — McKenzie Apel)

=========

Toowoomba  R1: 1) LOADED GUN* (#4 — Les Tilley)
Toowoomba  R1: 2) AYE EYE BOOM (#9 — Kelsey Lenton)
Toowoomba  R1: 3) PUROSANGUE* (#3 — Jake Molloy)

Toowoomba  R2: 1) CHINCHILLA AHEAD* (#4 — Les Tilley)
Toowoomba  R2: 2) SOUTH SEA* (#3 — Jake Molloy)
Toowoomba  R2: 3) BLACK 'N' DEADLY* (#12 — Jade Metcalfe)

Toowoomba  R3: 1) BLUMSTIEN (#5 — Jake Molloy)
Toowoomba  R3: 2) FORT WILLIAM (#3 — Stacey Callow)
Toowoomba  R3: 3) BEARHUG* (#1 — Chelsea Baker)

Toowoomba  R4: 1) PANNIER* (#6 — Shania Willis)
Toowoomba  R4: 2) END ASSEMBLY* (#3 — Kyle Wilson-Taylor)
Toowoomba  R4: 3) TUHINGA** (#4 — Olivia Webb)

Toowoomba  R5: 1) DECORATIVE (#13 — Unknown)
Toowoomba  R5: 2) WEATHER* (#7 — Jade Metcalfe)
Toowoomba  R5: 3) HANAA BOY (#12 — Shania Willis)

Toowoomba  R6: 1) AKAKA FALLS (#1 — Kelsey Lenton)
Toowoomba  R6: 2) MR ENCORE* (#4 — Les Tilley)
Toowoomba  R6: 3) MISTREY EMPEROR** (#2 — Olivia Webb)

Toowoomba  R7: 1) ROYAL EDITION (#1 — Jake Molloy)
Toowoomba  R7: 2) GREEN CHAI* (#3 — Les Tilley)
Toowoomba  R7: 3) MAN TALK** (#2 — Olivia Webb)

=========

Kembla Grange  R1: 1) LI'L GRUG* (#1 — Angus Villiers)
Kembla Grange  R1: 2) CHOCECLAIR (#5 — Brock Ryan)
Kembla Grange  R1: 3) MOVER AND SHAKER (#4 — Adrian Layt)

Kembla Grange  R2: 1) OMNIC* (#1 — Mollie Fitzgerald)
Kembla Grange  R2: 2) MIKKI VAIN* (#8 — Brock Ryan)
Kembla Grange  R2: 3) DAMASCUS CALLING (#2 — Coriah Keatings)

Kembla Grange  R3: 1) WELCOME RED SUN* (#5 — Keagan Latham)
Kembla Grange  R3: 2) SABLONNEUSE (#10 — Pierre Boudvillain)
Kembla Grange  R3: 3) DECALOGUE* (#7 — Brock Ryan)

Kembla Grange  R4: 1) HAMMOON HEROINE (#4 — Keagan Latham)
Kembla Grange  R4: 2) AUTUMN HEIR (#7 — Brock Ryan)
Kembla Grange  R4: 3) PRECINCT* (#5 — Louise Day)

Kembla Grange  R5: 1) IRISH BLISS* (#2 — Brock Ryan)
