LGBM Rank DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Belmont  R7: 2) SISU WARRIOR* (#1 — Chanel Cooper)
Belmont  R7: 3) EXCELTRAIN* (#3 — Clint Johnston-Porter)

Belmont  R8: 1) EMERALD TRADER (#5 — Shaun O'Donnell)
Belmont  R8: 2) BECALOTTI (#7 — Luke Campbell)
Belmont  R8: 3) TON OF GRUNT* (#11 — Troy Turner)

=========

Roma  R1: 1) FLANK SPEED** (#1 — Isabel Jessop)
Roma  R1: 2) ABLETT** (#2 — Chelsea Francis)
Roma  R1: 3) MON PIERRE* (#3 — Sarah Robbins)

Roma  R2: 1) IL TORO D'ORO* (#1 — Matthew Gray)
Roma  R2: 2) STECARA (#2 — Kayla Barker)
Roma  R2: 3) SIR OCCY* (#3 — Isabel Jessop)

Roma  R3: 1) KAZZA'S JET* (#1 — Matthew Gray)
Roma  R3: 2) TERAMBI* (#2 — Kayla Barker)
Roma  R3: 3) OAKFIELD TARGET* (#3 — Todd Banks)

Roma  R4: 1) SAMPHIRE GREEN (#2 — Brendan Newport)
Roma  R4: 2) TRISCAY'S WAR PASS (#3 — Kayla Barker)
Roma  R4: 3) FEISTY LEGEND* (#4 — Chelsea Francis)

Roma  R5: 1) BAG OF WHITT* (#1 — James Baker)
Roma  R5: 2) JOEY JAWS (#2 — Kayla Barker)
Roma  R5: 3) THE RATTLESNAKE* (#3 — Chelsea Francis)

Roma  R6: 1) PACKAGE (#1 — Kayla Barker)
Roma  R6: 2) HARLEQUIN FIELD* (#2 — Matthew Gray)
Roma  R6: 3) DESERT STAR (#3 — Brendan Newport)

=========

Katherine  R1: 1) HELLIVIT* (#1 — Paul Shiers)
Katherine  R1: 2) REAL DIVINE (#3 — Paul Denton)
Katherine  R1: 3) ARROGANT MISS* (#4 — Danielle Hirini)

Katherine  R2: 1) THROW AT DA STUMPS* (#2 — Paul Denton)
Katherine  R2: 2) ORION THE HUNTER* (#3 — Paul Shiers)
Katherine  R2: 3) CHIEF WHITE SOCK* (#4 — Danielle Hirini)

Katherine  R3: 1) MLINZI* (#4 — Paul Shiers)
Katherine  R3: 2) SMELLICIOUS (#5 — Danielle Hirini)
Katherine  R3: 3) SNAPPY SWEETHEART* (#6 — Wayne Davis)

Katherine  R4: 1) BUCKLEUP BUDDY (#1 — Paul Denton)
Katherine  R4: 2) FRAWLEY* (#2 — Wayne Davis)
Katherine  R4: 3) COLLISON** (#5 — Stan Tsaikos)

Katherine  R5: 1) FIERCE LEGEND** (#2 — Stan Tsaikos)
Katherine  R5: 2) REBELLIOUS HOPE* (#4 — Wayne Davis)
Katherine  R5: 3) THE ACCELATOR (#6 — Paul Denton)

Katherine  R6: 1) HOLSTEIN* (#4 — Wayne Davis)
Katherine  R6: 2) AICHI ICON* (#8 — Danielle Hirini)
Katherine  R6: 3) PICAROON* (#1 — Paul Shiers)

=========

Narrandera  R1: 1) MEGAFLASH (#1 — Hannah Le Blanc)
Narrandera  R1: 2) THE NARRATOR* (#2 — Nick Heywood)
Narrandera  R1: 3) ZOE OF ROME* (#9 — Josh Richards)

Narrandera  R2: 1) GHOST GULLY* (#1 — Nick Heywood)
Narrandera  R2: 2) QUICK SPELL (#4 — Josh Richards)
Narrandera  R2: 3) DESTINED TO DREAM* (#5 — Brendan Ward)

Narrandera  R3: 1) NEWYORK MISSILE (#2 — Glenn Cahill)
Narrandera  R3: 2) CRUSHEEN LASS* (#3 — Cory Parish)
Narrandera  R3: 3) KERMA ART* (#5 — Brittany Button)

Narrandera  R4: 1) THUNDER PACE* (#1 — Alice Kennedy)
Narrandera  R4: 2) BRENLYN'S TROOPER* (#2 — Nick Heywood)
Narrandera  R4: 3) BOHO MISS (#8 — Josh Richards)

Narrandera  R5: 1) DEPLOY AND DESTROY (#4 — Nick Heywood)
Narrandera  R5: 2) FORTIS IN ARMIS* (#3 — Cory Parish)
Narrandera  R5: 3) STURTY (#6 — Josh Richards)

Narrandera  R6: 1) IRISH CONSORT** (#1 — Alice Kennedy)
Narrandera  R6: 2) CYCLONE COCO (#2 — Glenn Cahill)
Narrandera  R6: 3) TI TREE ROYAL* (#3 — Ella Bent)

=========

Cairns  R1: 1) MISHANI WOLF (#9 — Lacey Morrison)
Cairns  R1: 2) TOO MANY KISSES* (#3 — Justin Huxtable)
Cairns  R1: 3) GERALDINE'S WISH* (#2 — Krysten Swaffer)

Cairns  R2: 1) BLUE STEEL (#7 — Lacey Morrison)
Cairns  R2: 2) MOEGREEN (#1 — Sean Cormack)
Cairns  R2: 3) EAGLE WARRIOR* (#3 — Justin Huxtable)

Cairns  R3: 1) INDEFINITE (#1 — Ashley Butler)
Cairns  R3: 2) TARIFF (#5 — Aidan Holt)
Cairns  R3: 3) TOMYDONKA* (#7 — Rachel Shred)

Cairns  R4: 1) KHALS (#6 — Lacey Morrison)
Cairns  R4: 2) THE COPS* (#8 — Ty Wheeler)
Cairns  R4: 3) ABSCONDED WITNESS (#1 — Sean Cormack)

Cairns  R5: 1) BETTER BE SLICK* (#4 — Lacey Morrison)
Cairns  R5: 2) ELLIE'S DREAM (#13 — Sean Cormack)
Cairns  R5: 3) NORTHERNONTAP (#6 — Justin Huxtable)

Cairns  R6: 1) LOWLANDS* (#7 — Sean Cormack)
Cairns  R6: 2) BABY GUINNESS (#4 — Justin Huxtable)
Cairns  R6: 3) READ 'EM AND WEEP* (#8 — Lacey Morrison)

Cairns  R7: 1) YOUR TOO GOOD (#6 — Nathan Thomas)
Cairns  R7: 2) HEAD HONCHO* (#11 — Lacey Morrison)
Cairns  R7: 3) LADY DAMUS** (#7 — Sean Cormack)

Cairns  R8: 1) VINCENZO (#1 — Ty Wheeler)
Cairns  R8: 2) NONDISCLOSURE (#11 — Ashley Butler)
Cairns  R8: 3) JOHN JOSEPH (#8 — Lacey Morrison)

Cairns  R9: 1) SOWILO SIREN (#9 — Lacey Morrison)
Cairns  R9: 2) PREMIUM STAR (#4 — Jackson Murphy)
Cairns  R9: 3) FIVE BULLS* (#15 — Adam Sewell)

=========

Toowoomba  R1: 1) LOADED GUN* (#4 — Les Tilley)
Toowoomba  R1: 2) HUSS ON FIRST (#5 — Nathan Fazackerley)
Toowoomba  R1: 3) KEITANY (#13 — Jade Metcalfe)

Toowoomba  R2: 1) DELORIS* (#15 — Wayne O'Connell)
Toowoomba  R2: 2) CHINCHILLA AHEAD* (#4 — Les Tilley)
Toowoomba  R2: 3) BLACK 'N' DEADLY* (#12 — Jade Metcalfe)

Toowoomba  R3: 1) DECIMUS (#2 — Shania Willis)
Toowoomba  R3: 2) FORTY TIMES* (#6 — Olivia Webb)
Toowoomba  R3: 3) MISS MOZAMBIQUE (#7 — Les Tilley)

Toowoomba  R4: 1) END ASSEMBLY* (#3 — Kyle Wilson-Taylor)
Toowoomba  R4: 2) TUHINGA** (#4 — Olivia Webb)
Toowoomba  R4: 3) PANNIER* (#6 — Shania Willis)

Toowoomba  R5: 1) BUSHANN (#8 — Les Tilley)
Toowoomba  R5: 2) WEATHER* (#7 — Jade Metcalfe)
Toowoomba  R5: 3) FOUR DOZEN OYSTERS (#1 — Nathan Fazackerley)

Toowoomba  R6: 1) MISTREY EMPEROR** (#2 — Olivia Webb)
Toowoomba  R6: 2) RED BOOMSHAKALAKA (#3 — Kyle Wilson-Taylor)
Toowoomba  R6: 3) MR ENCORE* (#4 — Les Tilley)

Toowoomba  R7: 1) MAN TALK** (#2 — Olivia Webb)
Toowoomba  R7: 2) GREEN CHAI* (#3 — Les Tilley)
Toowoomba  R7: 3) BETA BETTER (#5 — Nozi Tomizawa)

=========

Kembla Grange  R1: 1) MAGNOLIA JEWEL* (#3 — Mollie Fitzgerald)
Kembla Grange  R1: 2) LI'L GRUG* (#1 — Angus Villiers)
Kembla Grange  R1: 3) ALL SAINTS* (#2 — Rory Hutchings)

Kembla Grange  R2: 1) TESSY TEE (#4 — Andrew Calder)
Kembla Grange  R2: 2) GORSHIN (#7 — Grant Buckley)
Kembla Grange  R2: 3) OMNIC* (#1 — Mollie Fitzgerald)

Kembla Grange  R3: 1) MENSHEVIK* (#9 — Mollie Fitzgerald)
Kembla Grange  R3: 2) ZOUSTRONG (#4 — Jean Van Overmeire)
Kembla Grange  R3: 3) WELCOME RED SUN* (#5 — Keagan Latham)

Kembla Grange  R4: 1) SO PRECISE* (#11 — Mollie Fitzgerald)
Kembla Grange  R4: 2) POUR BENN* (#1 — Rory Hutchings)
Kembla Grange  R4: 3) THE BIG BLUE (#3 — Jean Van Overmeire)

Kembla Grange  R5: 1) IRISH BLISS* (#2 — Brock Ryan)
Kembla Grange  R5: 2) TAYTAY BAY (#3 — Louise Day)
Kembla Grange  R5: 3) MAH ALI* (#4 — Adrian Layt)

Kembla Grange  R6: 1) DUNDEEL FLYER (#9 — Grant Buckley)
Kembla Grange  R6: 2) VALEDICTORIAN* (#1 — Keagan Latham)
Kembla Grange  R6: 3) NIELSEN PARK* (#3 — Rory Hutchings)

Kembla Grange  R7: 1) KING CHARLES (#11 — Pierre Boudvillain)
Kembla Grange  R7: 2) PRETTY SASSY (#9 — Brock Ryan)
Kembla Grange  R7: 3) ZIPITALIST* (#6 — Angus Villiers)

Kembla Grange  R8: 1) MR ROCK IT* (#1 — Holly Durnan)
Kembla Grange  R8: 2) CES SOIREES LA (#6 — Mollie Fitzgerald)
Kembla Grange  R8: 3) CANI CANCAN (#7 — Jean Van Overmeire)

=========

Beaudesert  R1: 1) XUANFENG* (#14 — Nozi Tomizawa)
