LGBM Regression DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Roma  R2: 2) STORM DREAMER* (#5 — Paul Randall)
Roma  R2: 3) MUIRON (#6 — Cheryl Rogers)

Roma  R3: 1) AREYA TUCHUZY (#6 — Isabel Jessop)
Roma  R3: 2) OAKFIELD TARGET* (#3 — Todd Banks)
Roma  R3: 3) TERAMBI* (#2 — Kayla Barker)

Roma  R4: 1) PERFECT WORK (#11 — Isabel Jessop)
Roma  R4: 2) MISS IMPRESSIVE (#7 — Sarah Robbins)
Roma  R4: 3) MISS RAPIDE (#8 — James Baker)

Roma  R5: 1) SILVANNA'S SONG (#6 — Todd Banks)
Roma  R5: 2) LIGHT UP THE DAWN (#7 — Isabel Jessop)
Roma  R5: 3) LAYLAH'S WISH (#9 — Sarah Robbins)

Roma  R6: 1) TIME TO TESTIFY (#8 — Isabel Jessop)
Roma  R6: 2) VICTORY BEANS (#9 — Todd Banks)
Roma  R6: 3) LEGISLATE (#5 — James Baker)

=========

Katherine  R1: 1) HALLOWED GROUND (#7 — Stan Tsaikos)
Katherine  R1: 2) JUST FOR MARCUS (#2 — Jessica Booth)
Katherine  R1: 3) BETTER SUN (#6 — Sonja Logan)

Katherine  R2: 1) RUSTIC BOOM (#6 — Jessica Booth)
Katherine  R2: 2) THROW AT DA STUMPS* (#2 — Paul Denton)
Katherine  R2: 3) MUNSTER (#1 — Jarrod Todd)

Katherine  R3: 1) CASSETTE (#2 — Jessica Booth)
Katherine  R3: 2) MERCHANT DELIGHT* (#1 — Kristo Sardelic)
Katherine  R3: 3) JUELENE (#3 — Sonja Logan)

Katherine  R4: 1) THE STIFMEISTER (#7 — Jessica Booth)
Katherine  R4: 2) BLOWN AWAY (#3 — Kristo Sardelic)
Katherine  R4: 3) COLLISON** (#5 — Stan Tsaikos)

Katherine  R5: 1) FUNNYIFITWON (#1 — Jessica Booth)
Katherine  R5: 2) I'M A DREAMER (#5 — Jarrod Todd)
Katherine  R5: 3) FIERCE LEGEND** (#2 — Stan Tsaikos)

Katherine  R6: 1) SEGUSO (#5 — Stan Tsaikos)
Katherine  R6: 2) HETTINGER (#3 — Kristo Sardelic)
Katherine  R6: 3) TUBTHUMPER (#9 — Jessica Booth)

=========

Narrandera  R1: 1) LOVEOFMYLIFE (#7 — Cory Parish)
Narrandera  R1: 2) ZOE OF ROME* (#9 — Josh Richards)
Narrandera  R1: 3) FLYING BETTY* (#5 — Teaghan Martin)

Narrandera  R2: 1) PLATINUM EXECUTIVE (#8 — Cory Parish)
Narrandera  R2: 2) ONE LAST REWARD (#7 — Bradley Vale)
Narrandera  R2: 3) EXCELLENT REWARD (#6 — Amy O'Driscoll)

Narrandera  R3: 1) CRUSHEEN LASS* (#3 — Cory Parish)
Narrandera  R3: 2) FIORENTE SPRITZ (#8 — Bradley Vale)
Narrandera  R3: 3) EMPEROR OF FRANCE* (#9 — Amy O'Driscoll)

Narrandera  R4: 1) ARTIST* (#4 — Richard Bensley)
Narrandera  R4: 2) BALGOWAN (#10 — Cory Parish)
Narrandera  R4: 3) IMPENDING LOVE (#9 — Brendan Ward)

Narrandera  R5: 1) FORTIS IN ARMIS* (#3 — Cory Parish)
Narrandera  R5: 2) ALPINE ROSE (#11 — Amy O'Driscoll)
Narrandera  R5: 3) SHYLOCK (#2 — Richard Bensley)

Narrandera  R6: 1) CRIMOSA (#9 — Cory Parish)
Narrandera  R6: 2) OURZACRACKER (#12 — Amy O'Driscoll)
Narrandera  R6: 3) IRISH CONSORT** (#1 — Alice Kennedy)

=========

Cairns  R1: 1) PARTY FOR US (#5 — Aidan Holt)
Cairns  R1: 2) LICHFIELD ANGEL (#7 — Jason Taylor)
Cairns  R1: 3) TOO MANY KISSES* (#3 — Justin Huxtable)

Cairns  R2: 1) CONVERTOR (#5 — Aidan Holt)
Cairns  R2: 2) ELSPHERE (#9 — Adam Sewell)
Cairns  R2: 3) MERRY OLD SOUL (#8 — Krysten Swaffer)

Cairns  R3: 1) THE HOME TEAM (#6 — Amanda Thomson)
Cairns  R3: 2) SUPERSTITIONS (#4 — Nathan Thomas)
Cairns  R3: 3) COOL STORY (#9 — Ty Wheeler)

Cairns  R4: 1) THE COPS* (#8 — Ty Wheeler)
Cairns  R4: 2) ZORAYDAH (#11 — Ashley Butler)
Cairns  R4: 3) IT'S BEEN A TREK* (#4 — Adam Sewell)

Cairns  R5: 1) IMPARDOO (#8 — Jason Taylor)
Cairns  R5: 2) TARGETED (#10 — Jackson Murphy)
Cairns  R5: 3) VIVENZO (#2 — Nathan Thomas)

Cairns  R6: 1) LOWLANDS* (#7 — Sean Cormack)
Cairns  R6: 2) AL RAS BLUES (#9 — Jackson Murphy)
Cairns  R6: 3) BRAVE AGENDA (#3 — Adam Sewell)

Cairns  R7: 1) FAMILY STAR (#5 — Jackson Murphy)
Cairns  R7: 2) JEMELDI* (#3 — Ashley Butler)
Cairns  R7: 3) LADY DAMUS** (#7 — Sean Cormack)

Cairns  R8: 1) FIFTH POSITION (#5 — Jackson Murphy)
Cairns  R8: 2) MAJOR ARTIE (#10 — Aidan Holt)
Cairns  R8: 3) THE DRILLER (#9 — Adam Sewell)

Cairns  R9: 1) THREEBROTHERS (#13 — Nathan Thomas)
Cairns  R9: 2) CALM IS POWER (#7 — Aidan Holt)
Cairns  R9: 3) FIVE BULLS* (#15 — Adam Sewell)

=========

Toowoomba  R1: 1) FLYING BANJO (#11 — Darren Evans)
Toowoomba  R1: 2) GROOVE JET (#10 — Stacey Callow)
Toowoomba  R1: 3) PUROSANGUE* (#3 — Jake Molloy)

Toowoomba  R2: 1) DELORIS* (#15 — Wayne O'Connell)
Toowoomba  R2: 2) SOUTH SEA* (#3 — Jake Molloy)
Toowoomba  R2: 3) DATA LEAK (#2 — Stacey Callow)

Toowoomba  R3: 1) SMART BINT (#8 — Karl Zechner)
Toowoomba  R3: 2) BEARHUG* (#1 — Chelsea Baker)
Toowoomba  R3: 3) FORTY TIMES* (#6 — Olivia Webb)

Toowoomba  R4: 1) TUHINGA** (#4 — Olivia Webb)
Toowoomba  R4: 2) CHARMED PASSAGE (#7 — Chelsea Baker)
Toowoomba  R4: 3) COMMAND APPROVED (#8 — Hannah Richardson)

Toowoomba  R5: 1) ITALIAN GIRL (#11 — Chelsea Baker)
Toowoomba  R5: 2) SILVER AGENT (#6 — Jake Molloy)
Toowoomba  R5: 3) NICCONIUM (#4 — Stacey Callow)

Toowoomba  R6: 1) DEVIL'S RITE (#5 — Hannah Richardson)
Toowoomba  R6: 2) ISLAND TIDE (#7 — Jade Metcalfe)
Toowoomba  R6: 3) MISTREY EMPEROR** (#2 — Olivia Webb)

Toowoomba  R7: 1) SHAMIC (#9 — Wayne O'Connell)
Toowoomba  R7: 2) STELLA SIMONE (#7 — Amy Graham)
Toowoomba  R7: 3) MAN TALK** (#2 — Olivia Webb)

=========

Kembla Grange  R1: 1) DEEP AFFECTION (#6 — Keagan Latham)
Kembla Grange  R1: 2) MAGNOLIA JEWEL* (#3 — Mollie Fitzgerald)
Kembla Grange  R1: 3) ALL SAINTS* (#2 — Rory Hutchings)

Kembla Grange  R2: 1) SPIRITUALISTIC (#3 — Rory Hutchings)
Kembla Grange  R2: 2) VIA VARALLO (#6 — Emma Ly)
Kembla Grange  R2: 3) MIKKI VAIN* (#8 — Brock Ryan)

Kembla Grange  R3: 1) COLD FIRE (#6 — Adrian Layt)
Kembla Grange  R3: 2) MENSHEVIK* (#9 — Mollie Fitzgerald)
Kembla Grange  R3: 3) DECALOGUE* (#7 — Brock Ryan)

Kembla Grange  R4: 1) POUR BENN* (#1 — Rory Hutchings)
Kembla Grange  R4: 2) SO PRECISE* (#11 — Mollie Fitzgerald)
Kembla Grange  R4: 3) PRECINCT* (#5 — Louise Day)

Kembla Grange  R5: 1) MAH ALI* (#4 — Adrian Layt)
Kembla Grange  R5: 2) VICTORY AT OMAHA (#9 — Shaun Guymer)
Kembla Grange  R5: 3) CASH ME* (#1 — Olivia Chambers)

Kembla Grange  R6: 1) WINNING RULET (#7 — Adrian Layt)
Kembla Grange  R6: 2) NIELSEN PARK* (#3 — Rory Hutchings)
Kembla Grange  R6: 3) BILLY BOWLEGG (#10 — Deanne Panya)

Kembla Grange  R7: 1) NOBLE SOLDIER (#1 — Holly Durnan)
Kembla Grange  R7: 2) SCISSOR ME TIMBERS (#7 — Rory Hutchings)
Kembla Grange  R7: 3) ALL TOO LUCKY* (#8 — Louise Day)

Kembla Grange  R8: 1) KING TAT (#13 — Nyssa Burrells)
Kembla Grange  R8: 2) CALGARY KING (#12 — Emma Ly)
Kembla Grange  R8: 3) MR ROCK IT* (#1 — Holly Durnan)

=========

Beaudesert  R1: 1) EPIC FLASH* (#13 — Brooke Ainsworth)
Beaudesert  R1: 2) PRETTY RHO (#9 — Amy Graham)
Beaudesert  R1: 3) XUANFENG* (#14 — Nozi Tomizawa)

Beaudesert  R2: 1) SALLY'S KATO (#7 — Brooke Ainsworth)
Beaudesert  R2: 2) FLASH ONE HEY (#2 — Jasper Franklin)
Beaudesert  R2: 3) NEXTA SANTA ANA* (#4 — Kirk Matheson)

Beaudesert  R3: 1) LIGHTNING DRONE (#11 — Nozi Tomizawa)
Beaudesert  R3: 2) MISHANI LETHAL (#7 — Tiffani Brooker)
Beaudesert  R3: 3) I'LLTELLYOUTONIGHT (#13 — Georgina Cartwright)

Beaudesert  R4: 1) SWIFT DUKE* (#2 — Danny Peisley)
Beaudesert  R4: 2) ALL TOO FOXY (#9 — Chelsea Baker)
Beaudesert  R4: 3) MISHANI ERUPTION (#4 — Rikki Jamieson)

Beaudesert  R5: 1) NIENNA (#11 — Scott Sheargold)
Beaudesert  R5: 2) SO SAIN (#20 — Noriyuki Masuda)
Beaudesert  R5: 3) PRIDE OF ICE* (#15 — Jasper Franklin)

Beaudesert  R6: 1) GIDDY GAN'S JOY* (#5 — Sariah Champkin)
